iter	Logloss	AUC
0	0.6893162535	0.8139605873
1	0.6856689505	0.8286765842
2	0.6822574449	0.8308964451
3	0.6786530455	0.8370730294
4	0.6751584014	0.8367793663
5	0.671703409	0.8371232612
6	0.6683401958	0.8390359351
7	0.6648556153	0.8398531685
8	0.6615689044	0.8397372488
9	0.6584974477	0.8399574961
10	0.655528941	0.8395595054
11	0.6524690354	0.8386765842
12	0.6492865045	0.8412751159
13	0.6461114856	0.8424285162
14	0.643353511	0.8421503091
15	0.6404124174	0.8414586553
16	0.6374884248	0.841261592
17	0.6347359629	0.840940881
18	0.631939395	0.8411881762
19	0.629051372	0.8426255796
20	0.626262477	0.843440881
21	0.6238950344	0.8425946677
22	0.6213590289	0.8416576507
23	0.6189558063	0.8456877898
24	0.6163737714	0.8455989181
25	0.6138752713	0.8454636785
26	0.6112853908	0.8454482226
27	0.6088581999	0.8456993818
28	0.6069524483	0.8455448223
29	0.6045740225	0.8459621329
30	0.602136133	0.84624034
31	0.5998721898	0.8461862442
32	0.5978168675	0.8461398764
33	0.5956208016	0.8461591963
34	0.5936127589	0.8462867079
35	0.5913332052	0.8462982998
36	0.5891839585	0.8460065688
37	0.5871769767	0.8458288253
38	0.5851499809	0.8456819938
39	0.5831522685	0.8457206337
40	0.5812616324	0.844383694
41	0.5792502936	0.8445401855
42	0.5773458752	0.8445633694
43	0.5755781188	0.8441846986
44	0.5737591413	0.8438794436
45	0.5719544351	0.8440185471
46	0.5701415578	0.8440417311
47	0.5683467693	0.8442870943
48	0.5667125913	0.84436051
49	0.5653783145	0.8442677743
50	0.5634485689	0.8447855487
51	0.5616318749	0.845013524
52	0.5598896818	0.8441248068
53	0.5580605165	0.8445150696
54	0.5564634917	0.8444107419
55	0.555254219	0.8443489181
56	0.5537024718	0.84437983
57	0.5521366634	0.8447082689
58	0.5504630722	0.8451758114
59	0.5488685141	0.845318779
60	0.5474000863	0.8454076507
61	0.5458643932	0.8454598145
62	0.5443715184	0.8454482226
63	0.5429250263	0.8457631376
64	0.5413975074	0.8459119011
65	0.5399441392	0.8461437403
66	0.5384719138	0.8466789026
67	0.5370537436	0.8477357032
68	0.5355820617	0.8479134467
69	0.5342354011	0.8478941267
70	0.5330830322	0.8480332303
71	0.5317772393	0.8479791345
72	0.5304476909	0.84812983
73	0.5292456264	0.8480989181
74	0.5283513693	0.8480293663
75	0.5270873489	0.84812983
76	0.5261501666	0.8480873261
77	0.524867002	0.848431221
78	0.5235423381	0.8486012365
79	0.5222645375	0.8487055641
80	0.5210539535	0.8488137558
81	0.5197936461	0.8490455951
82	0.5185178119	0.8492986862
83	0.5173108015	0.8492832303
84	0.5163983344	0.8493180062
85	0.5153409828	0.8493952859
86	0.514209085	0.849683153
87	0.5130675378	0.8500598918
88	0.5119811378	0.8501951314
89	0.5108787437	0.8503767388
90	0.5098173217	0.8504849304
91	0.5088577552	0.8505506182
92	0.5079835162	0.8505274343
93	0.5072761319	0.8503728748
94	0.5063360223	0.8504424266
95	0.5053244353	0.8504810665
96	0.5043826154	0.8505119784
97	0.5034492251	0.8505892581
98	0.502524434	0.8506665379
99	0.5016567256	0.8506085781
