iter	Passed	Remaining
0	4	457
1	6	335
2	8	287
3	10	252
4	12	235
5	14	227
6	17	238
7	19	225
8	22	225
9	24	217
10	25	204
11	26	193
12	27	184
13	28	177
14	29	169
15	30	162
16	31	155
17	32	149
18	38	165
19	42	171
20	45	169
21	46	163
22	49	164
23	53	169
24	55	167
25	59	169
26	65	177
27	69	178
28	70	171
29	71	167
30	73	163
31	75	161
32	77	157
33	81	157
34	83	154
35	84	150
36	86	146
37	87	142
38	88	137
39	89	134
40	90	130
41	91	126
42	92	122
43	93	119
44	96	117
45	98	115
46	99	111
47	100	108
48	101	105
49	102	102
50	103	99
51	104	96
52	105	93
53	106	91
54	107	88
55	108	85
56	109	82
57	113	81
58	114	79
59	115	77
60	116	74
61	117	72
62	119	69
63	120	67
64	121	65
65	122	63
66	123	60
67	124	58
68	127	57
69	129	55
70	130	53
71	131	51
72	132	49
73	134	47
74	134	44
75	136	42
76	136	40
77	137	38
78	139	36
79	140	35
80	141	33
81	142	31
82	145	29
83	147	28
84	148	26
85	150	24
86	152	22
87	153	20
88	154	19
89	156	17
90	159	15
91	162	14
92	163	12
93	165	10
94	166	8
95	167	6
96	168	5
97	169	3
98	170	1
99	176	0
